id,score
0,0.998804
1,0.0064176656
2,0.15731686
3,0.0027877102
4,0.72832304
5,0.050088476
6,0.03861426
7,0.7536562
8,0.0017380475
9,0.022669839
10,0.0022286177
11,0.999035
12,0.99915886
13,0.07851357
14,0.05923238
15,0.99906176
16,0.09412036
17,0.9976986
18,0.9981401
19,0.62193984
20,0.0063280975
21,0.0022031446
22,0.0040702713
23,0.7547888
24,0.04470737
25,0.0066532
26,0.32417077
27,0.36062378
28,0.998145
29,0.0034997182
30,0.010992001
31,0.73798233
32,0.9983487
33,0.011262792
34,0.9989015
35,0.16724837
36,0.006978171
37,0.94759005
38,0.015350718
39,0.0033125593
40,0.9986941
41,0.9990878
42,0.052511875
43,0.75057656
44,0.058571447
45,0.29576835
46,0.9992176
47,0.77547103
48,0.9891676
49,0.24158125
50,0.018236414
51,0.9987929
52,0.004134382
53,0.6675514
54,0.020453785
55,0.096528105
56,0.5066748
57,0.024892114
58,0.0052075176
59,0.0048072427
60,0.8754613
61,0.068540566
62,0.6531426
63,0.6708611
64,0.005475937
65,0.4077178
66,0.014024097
67,0.458849
68,0.0024861428
69,0.87964845
70,0.86174905
71,0.0013654864
72,0.8526493
73,0.11716089
74,0.28454202
75,0.5490249
76,0.5697597
77,0.101126656
78,0.03288778
79,0.118113585
80,0.00802662
81,0.1263317
82,0.0063576815
83,0.08553494
84,0.38076246
85,0.9983176
86,0.022818033
87,0.26106268
88,0.9951261
89,0.9989711
90,0.010570953
91,0.40841827
92,0.10329446
93,0.7414994
94,0.05327574
95,0.17573458
96,0.010090873
97,0.027927926
98,0.14188597
99,0.009291739
100,0.0025753141
101,0.39180186
102,0.9992099
103,0.055471364
104,0.99870706
105,0.60999006
106,0.7953953
107,0.4143205
108,0.103119865
109,0.7580868
110,0.7848351
111,0.9976605
112,0.007881698
113,0.02048182
114,0.6037782
115,0.025271257
116,0.00809875
117,0.61572933
118,0.8237858
119,0.5006104
120,0.0038206067
121,0.091940284
122,0.9911612
123,0.06659003
124,0.032246444
125,0.99917054
126,0.010017415
127,0.059205003
128,0.0041587986
129,0.9984419
130,0.02497586
131,0.010888946
132,0.32209837
133,0.99902594
134,0.16189343
135,0.42064515
136,0.8787376
137,0.44736546
138,0.014764806
139,0.78031707
140,0.02277768
141,0.18978971
142,0.004632272
143,0.009623581
144,0.002393494
145,0.0039652144
146,0.005041579
147,0.9985258
148,0.1478982
149,0.0049777306
150,0.17312789
151,0.99902344
152,0.06960933
153,0.3020845
154,0.5224851
155,0.05512058
156,0.024160393
157,0.9991685
158,0.007205935
159,0.80621344
160,0.998806
161,0.21156965
162,0.007154214
163,0.015996456
164,0.027808638
165,0.10885842
166,0.0061433334
167,0.9607782
168,0.024116408
169,0.0016421988
170,0.014666652
171,0.0072671315
172,0.8707185
173,0.5893562
174,0.2949716
175,0.022995172
176,0.02766317
177,0.6702985
178,0.5630754
179,0.8369314
180,0.37014112
181,0.9987638
182,0.8225881
183,0.012008369
184,0.5988817
185,0.24815583
186,0.012090455
187,0.1503465
188,0.63824564
189,0.13529955
190,0.012735017
191,0.99876827
192,0.7952861
193,0.023630105
194,0.9970277
195,0.5859145
196,0.08392122
197,0.0022704569
198,0.091299765
199,0.2723574
200,0.0034573788
201,0.60894704
202,0.007323933
203,0.03279341
204,0.3572619
205,0.098930545
206,0.5344984
207,0.9988281
208,0.07256943
209,0.0041271816
210,0.73322093
211,0.029593976
212,0.009806413
213,0.31951123
214,0.027888458
215,0.99870586
216,0.016650332
217,0.010955706
218,0.0034430053
219,0.018415812
220,0.0042809984
221,0.9932033
222,0.17871837
223,0.0650612
224,0.006535496
225,0.009533493
226,0.9310528
227,0.11178172
228,0.009636682
229,0.9989042
230,0.0020204026
231,0.002336746
232,0.48854712
233,0.31848037
234,0.2956151
235,0.998816
236,0.7177891
237,0.033506367
238,0.007843563
239,0.0025808231
240,0.16215424
241,0.026050206
242,0.12795426
243,0.07211881
244,0.99905485
245,0.5451037
246,0.015702322
247,0.0039828564
248,0.061207853
249,0.8693549
250,0.07852202
251,0.009074784
252,0.99747854
253,0.99866045
254,0.005606409
255,0.008855442
256,0.99657214
257,0.17041391
258,0.1595975
259,0.95625484
260,0.0030165222
261,0.007619815
262,0.018632745
263,0.037160996
264,0.05360818
265,0.0033207973
266,0.0035529903
267,0.20858301
268,0.0037213638
269,0.17660728
270,0.04603536
271,0.011368834
272,0.008942286
273,0.8261089
274,0.99909914
275,0.3480338
276,0.045260098
277,0.8660957
278,0.96957415
279,0.970588
280,0.0022031446
281,0.110188246
282,0.7722532
283,0.6377705
284,0.015838811
285,0.015169198
286,0.98138463
287,0.027102035
288,0.61421025
289,0.0018005043
290,0.026654178
291,0.008509746
292,0.87452984
293,0.741207
294,0.0053388686
295,0.73770225
296,0.9289715
297,0.99870396
298,0.0030057202
299,0.057536896
300,0.007645433
301,0.009096948
302,0.0056561953
303,0.004386983
304,0.35279748
305,0.028588759
306,0.80127865
307,0.9963898
308,0.002597857
309,0.0072159036
310,0.9988103
311,0.99870396
312,0.99883515
313,0.07056047
314,0.32729852
315,0.025800679
316,0.1948745
317,0.695273
318,0.0224957
319,0.11960079
320,0.0056140865
321,0.582918
322,0.0062290984
323,0.051666
324,0.9988788
325,0.56019706
326,0.8936804
327,0.021483097
328,0.022971874
329,0.0023116341
330,0.0027851358
331,0.002336746
332,0.08496842
333,0.44981533
334,0.041361835
335,0.0049788738
336,0.08203645
337,0.007927794
338,0.00930559
339,0.0038160288
340,0.35507482
341,0.74582887
342,0.39929682
343,0.003973872
344,0.0023919197
345,0.82309014
346,0.8809033
347,0.08651096
348,0.99874806
349,0.99903274
350,0.12183264
351,0.12977898
352,0.99911076
353,0.0030393652
354,0.02114125
355,0.22925127
356,0.08545007
357,0.015576071
358,0.9980756
359,0.113646716
360,0.2387503
361,0.07110421
362,0.22115637
363,0.50799835
364,0.63845956
365,0.0033937823
366,0.86361927
367,0.0065377993
368,0.03177951
369,0.9990482
370,0.7121419
371,0.09927674
372,0.8694332
373,0.70379966
374,0.85862446
375,0.14907907
376,0.006747696
377,0.9147397
378,0.17651767
379,0.6856598
380,0.0057842457
381,0.87278754
382,0.986227
383,0.0077791377
384,0.1863497
385,0.9988624
386,0.0031113073
387,0.0031247386
388,0.90608543
389,0.9980762
390,0.008976457
391,0.5507581
392,0.022257138
393,0.0030826384
394,0.40865877
395,0.8628468
396,0.0059999377
397,0.01139403
398,0.026018413
399,0.9937568
400,0.012486977
401,0.99866045
402,0.0033355735
403,0.0033698636
404,0.023998797
405,0.54934746
406,0.6229111
407,0.99880004
408,0.29309228
409,0.01798024
410,0.97447896
411,0.0356166
412,0.9990055
413,0.9215585
414,0.11683798
415,0.42228067
416,0.002064961
417,0.7237483
418,0.0049437103
419,0.5991067
420,0.036714964
421,0.45684034
422,0.9984541
423,0.6443954
424,0.008273425
425,0.98698735
426,0.0015591054
427,0.5670337
428,0.010374098
429,0.89982766
430,0.92426056
431,0.60627747
432,0.0028381015
433,0.92493355
434,0.8457126
435,0.06299522
436,0.60034066
437,0.0310335
438,0.50727546
439,0.016620215
440,0.17188922
441,0.054487552
442,0.021750368
443,0.99908996
444,0.9416203
445,0.64349324
446,0.0036742927
447,0.020046636
448,0.99890184
449,0.25095463
450,0.70339125
451,0.45240766
452,0.7740849
453,0.9989248
454,0.15979254
455,0.052820235
456,0.9987702
457,0.7403196
458,0.28670335
459,0.0030113768
460,0.5788418
461,0.03220447
462,0.9581481
463,0.84498066
464,0.030963216
465,0.28695408
466,0.0028764668
467,0.30084014
468,0.9989524
469,0.74563944
470,0.010845701
471,0.04332817
472,0.013875165
473,0.034843463
474,0.20806913
475,0.047240056
476,0.12960486
477,0.0061083594
478,0.9985662
479,0.00921903
480,0.006879215
481,0.91043746
482,0.35931537
483,0.07108352
484,0.0018329107
485,0.0050762957
486,0.99856925
487,0.10008491
488,0.003678855
489,0.056923144
490,0.2620235
491,0.08046118
